title,channel_name,daily_rank,daily_movement,weekly_movement,snapshot_date,country,view_count,like_count,comment_count,description,thumbnail_url,video_id,channel_id,video_tags,kind,publish_date,langauge
Jnr Spragga - Tinodanana ( Official music video) ,Jnr Spragga,1,0,0,2/10/2026,ZW,263327,13860,1341,"Jnr Spragga official music video - TINODANANA


Connect with JnrSpragga on socials: 
Facebook: Jnr Spragga Madikiwani the Conquering Prince.
TikTok: Junior_spragga 
Insta: Jnrspraggaofficial 



Produced, mixed and mastered by: GHOST MAGICIAN 
Video by: LEOY V

#btwbc #jnrspragga #dancehallmusic #dareguru #daredare #trending #BTWBCENTERTAINMENT",https://i.ytimg.com/vi/XHm5P8ftt7Q/mqdefault.jpg,XHm5P8ftt7Q,UCnd7uA3XSqpyC2NgzmP4K1g,,youtube#video,2/1/2026 1:00,und
WAR MACHINE | Official Trailer | Netflix,Netflix,2,0,48,2/10/2026,ZW,11605061,180480,14759,"During the final stage of U.S. Army Ranger selection, an elite team’s training exercise turns into a fight for survival against an unimaginable threat. Watch Alan Ritchson in War Machine on March 6th.

Watch on Netflix: https://www.netflix.com/title/81768525

About Netflix:
Netflix is one of the world’s leading entertainment services offering TV series, films, games and live programming across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. 

WAR MACHINE | Official Trailer | Netflix
https://www.youtube.com/@Netflix

On one last grueling mission during Army Ranger training, a combat engineer must lead his unit in a fight against a giant otherworldly killing machine.",https://i.ytimg.com/vi/AFuE1LRxm80/mqdefault.jpg,AFuE1LRxm80,UCWOA1ZGywLbqmigxE4Qlvuw,"Alan Ritchson, Alan Ritchson War Machine, Armor Wars, Dennis Quaid, Jai Courtney, MCU, Marvel War Machine, Military Thriller, Netflix, New Movie Trailers, Patrick Hughes, Reacher Alan Ritchson, Sci-Fi Action, Sci-Fi Thriller 2026, Trailer, War Machine 2026, War Machine Movie, War Machine Netflix, War Machine Official Trailer, War Machine Trailer",youtube#video,2/4/2026 1:00,en-US
Minecraft Pro VS 1000 Players,Wemmbu,3,0,47,2/10/2026,ZW,4243816,225413,26453,"massive minecraft war

Minecraft Pro VS 1000 Players

Unstable SMP:
➜  @ParrotX2 
➜  ⁨@FlameFragsMC 
➜  ⁨@Spokeishere 
➜  ⁨@wemmbumc 

minor spoilers below

featuring: @minutetechmc @LettuceK 

music from:
https://www.youtube.com/channel/UC9UKPs9ZisfhMJdalnETLRg (tons of the music I use is by AZALI so check him out!) 
https://www.youtube.com/@andreaszoeller (bunch of the cool minecraft ost remixes)
https://www.youtube.com/channel/UCFCKUxeHEDpElmqZ2zl9aUQ (used the song Counterblade during the end battle!)

This is a Minecraft video recorded in the Unstable Universe / Unstable SMP that is staged for story-telling purposes; any more staged videos I upload will have a disclaimer in the description saying that they are also staged. Also, a lot of the game mechanics/glitches/redstone discussed in Unstable SMP videos are unique to the Unstable SMP / Unstable Universe and either will not work the same/do not exist in vanilla Minecraft. 

music also from: official minecraft soundtrack, official elder scrolls soundtracks, official enderal soundtrack, epidemic sound (https://www.epidemicsound.com), storyblocks (https://www.storyblocks.com), artlist (https://artlist.io), soundstripe (https://www.soundstripe.com), fesliyan studios (https://www.fesliyanstudios.com/royalty-free-music), and envato (https://elements.envato.com/)

Enderal Soundtrack (HQ): The Trees have Eyes - Die Wälder Flüstern https://youtu.be/yZC0BlIePHM by Marvin Kopp, licensed under CC BY 4.0 https://creativecommons.org/licenses/by/4.0/

we wa we wa",https://i.ytimg.com/vi/CLm57ZHTJvQ/mqdefault.jpg,CLm57ZHTJvQ,UCkzzNLnuM-VsATWC53ehwOQ,"wemmbu, flamefrags, unstable smp, wemmbu vs flamefrags, wemmbu unstable smp, wemmbu farlands, minecraft farlands, wemmbu minecraft, wemmbu orbital cannon, orbital strike cannon, unstable universe, wemmbu unstable universe, weembu, wembu, wemmbu dead, wemmbu unstable dead, wemmbu death, wemmbu flamefrags, 2 Minecraft Pros VS 1000 Players, wemmbu vs 1000 players, minutetech, wemmbu minutetech, unstable smp law",youtube#video,2/7/2026 1:00,en-US
Zvichaita Chete,Josh Mtima - Topic,4,0,3,2/10/2026,ZW,285889,4775,0,"Provided to YouTube by DistroKid

Zvichaita Chete · Josh Mtima · Joshua Gareth Mtima

Zvichaita Chete

℗ Josh Mtima Music

Released on: 2026-01-28

Auto-generated by YouTube.",https://i.ytimg.com/vi/mkRqOY1Y8tw/mqdefault.jpg,mkRqOY1Y8tw,UCqILS_a9pojGQAWaDTvJr7Q,"Josh Mtima, Joshua Gareth Mtima, Zvichaita Chete",youtube#video,1/31/2026 1:00,en
Euphoria Season 3 | Trailer | HBO Max,HBO Max,5,3,45,2/10/2026,ZW,5598191,117082,7980,"Say your prayers. April 12. 

#Euphoria returns to HBO Max. 

About HBO Max:
HBO Max is the premier global streaming platform from Warner Bros. Discovery that delivers the most unique and captivating stories, ranging from the highest quality in scripted programming, movies, documentaries, true crime, adult animation, and live sports and news (where available). HBO Max is the destination for prestigious entertainment brands such as HBO, Warner Bros., Max Originals, DC, Harry Potter, as well as iconic shows like “Friends” and “The Big Bang Theory,” all in one place.

GET HBO MAX
https://hbomax.com/

FOLLOW HBO MAX
Follow HBO Max on YouTube: https://hbom.ax/YouTube
Follow HBO Max on Instagram: https://hbom.ax/Instagram
Follow HBO Max on TikTok: https://hbom.ax/Tiktok
Follow HBO Max on Twitter: https://hbom.ax/x
Follow HBO Max on Facebook: https://hbom.ax/Facebook",https://i.ytimg.com/vi/-1UJJPAWudQ/mqdefault.jpg,-1UJJPAWudQ,UCx-KWLTKlB83hDI6UKECtJQ,"hbo max, hbo, hbo originals, hbo original series, hbo trailer, new on hbo, hbo max originals, hbo max trailer, hbo max series, hbo max youtube, euphoria, euphoria season 3, euphoria trailer 1, euphoria trailer, zendaya, sydney sweeney, jacob elordi, rue, cassie, nate, alexa demie, maddy, lexi, jules, maude apatow, hunter schafer, zendaya euphoria, euphoria new season, hbo euphoria season 3, sydney sweeney euphoria, sydney sweeney cassie, cassie and nate, cassie and maddy",youtube#video,1/14/2026 1:00,en
🔴 Liverpool vs Manchester City - Premier League 2025/2026 LIVE Score & FC26 Simulation,AFIZA FOOTBALL LIVE,6,0,44,2/10/2026,ZW,90464,317,1,"🔴 Liverpool vs Manchester City - Premier League 2025/2026 LIVE Score & FC26 Simulation

Watch a LIVE match simulation complete with realistic graphics, smooth gameplay, and a stadium atmosphere that feels like a real match between  Liverpool vs Manchester City in the 2025/2026 Premier League in the latest version of the soccer game on PC.

⏱️ LIVE SCORE
⚽ Liverpool vs Manchester City
🏆 Premier League 2025/2026
🎮 FC26
⏳ Difficulty Level: LEGENDARY

This is not a live soccer broadcast, but a video game simulation created in FC26 for entertainment purposes. This  Liverpool vs Manchester City match is a private recording and not an official broadcast.

Support AFIZA FOOTBALL LIVE by LIKE, COMMENT, and SUBSCRIBE so you don't miss other exciting match gameplay from the PREMIER LEAGUE and big matches of your favorite clubs!",https://i.ytimg.com/vi/3Fi--IcTdx0/mqdefault.jpg,3Fi--IcTdx0,UCm8mkMIoJ_-8hI1_93aY7Pw,"liverpool vs manchester city, liverpool vs manchester city live, liverpool vs manchester city simulation, liverpool manchester city video game, premier league game simulation, football video game live, soccer game simulation, virtual football match, football gameplay simulation, liverpool gameplay, manchester city gameplay, fc25 simulation, pes football simulation, football game live stream, virtual premier league, liverpool manchester city game, football simulation live",youtube#video,2/8/2026 1:00,en
Oriyano - Jolai neNgirozi (official audio).,Oriyano Official ,7,0,10,2/10/2026,ZW,214033,6730,546,,https://i.ytimg.com/vi/wb1GD_c8tlI/mqdefault.jpg,wb1GD_c8tlI,UCF812vucrgVxq64SfmjwJzw,,youtube#video,2/2/2026 1:00,en-GB
Invincible Season 4 - Official Trailer | Prime Video,Prime Video,8,3,-3,2/10/2026,ZW,3935154,205914,10536,"March 18!!! 

» Watch Invincible on Prime Video: https://bit.ly/InvincibleSeason1
» SUBSCRIBE: http://bit.ly/PrimeVideoSubscribe

About Invincible:
INVINCIBLE is an adult animated superhero series that revolves around 17-year-old Mark Grayson, who’s just like every other guy his age — except his father is the most powerful superhero on the planet, Omni-Man. But as Mark develops powers of his own, he discovers his father’s legacy may not be as heroic as it seems.
  
About Prime Video:
Want to watch it now? We’ve got it. This week’s newest movies, last night’s TV shows, classic favorites, and more are available to stream instantly, plus all your videos are stored in Your Video Library. Prime Video offers a variety of unique and captivating entertainment, including original series “The Boys,” “Invincible,” “Hazbin Hotel,” “The Summer I Turned Pretty,” and more.
 
Get More Prime Video: 
Stream Now: http://bit.ly/WatchMorePrimeVideo
Instagram: http://bit.ly/primevideoIG
TikTok: https://bit.ly/PrimeVideoTikTok
Facebook: http://bit.ly/PrimeVideoFB
X: http://bit.ly/PrimeVideoTW
 
Invincible Season 4 - Official Trailer | Prime Video
https://youtu.be/ZnfUeVeMKjY
 
Prime Video
https://www.youtube.com/PrimeVideo

#Invincible #OfficialTrailer #PrimeVideo",https://i.ytimg.com/vi/ZnfUeVeMKjY/mqdefault.jpg,ZnfUeVeMKjY,UCQJWtTnAHhEG5w4uN0udnUQ,"invincible season 4 official trailer, invincible season 4 trailer, invincible season 4 prime video, prime video invincible season 4, invincible, invincible season 4, invincible s4, invincible s4 thragg, invincible s4 trailer, invincible season 4 thragg, thragg vs invincible, thragg invincible, battle beast, invincible battle beast, battle beast vs thragg, thragg vs battle beast, invincible vs conquest, steven yeun, jk simmons, omni man, lee pace, lee pace thragg, trailer",youtube#video,1/22/2026 1:00,en
Liverpool 1 vs 2 Manchester City 🔴 | Premier League 25/26 | Match Highlights  Simulation/Recreation,十Loork Football,9,0,41,2/10/2026,ZW,154240,668,1,"Liverpool  vs Manchester City 🔴 | Premier League 2025-2026 | Full Match Highlights   Video Game Simulation/Recreation

#Liverpool #ManchesterCity #PremierLeague #LiverpoolvsManchesterCity #LiverpoolvsManchesterCityPremierLeague #LiverpoolvsManchesterCityHighlights   LiverpoolvsManchesterCityMatchHighlights  
 #LoorkFootball",https://i.ytimg.com/vi/BRih8nQXKEI/mqdefault.jpg,BRih8nQXKEI,UCfFNw7MaO7QmWkswaGFGEvA,"Liverpool vs, Manchester City, Liverpool vs Manchester City, Liverpool vs Manchester City 2025-2026, Manchester City vs Liverpool 2025-2026, PREMIERLEAGUE 2025-2026, Manchester City vs Liverpool PREMIERLEAGUE 2025-2026, Liverpool vs Manchester City PREMIERLEAGUE 2025-2026, Liverpool, Premier League, Manchester City F.C., Liverpool F.C., PremierLeague, PREMIER LEAGUE EA SPORTS",youtube#video,2/8/2026 1:00,en
Master H - Impossible (Official Music Video),Master H,10,0,40,2/10/2026,ZW,240466,11507,1105,"Artist : Master H
Song : Impossible 
Producer : Ghost Magician 
Director : @studioartpictures 
Staring : @kim_and_tanaka ; @Ryanesu 
Studio : @Bottom_Camp 
Year : 2026",https://i.ytimg.com/vi/TIG5IzusQ24/mqdefault.jpg,TIG5IzusQ24,UC5jrU8WxzE16gPTnlqQAqew,,youtube#video,2/6/2026 1:00,en
